period_id,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
123,BELFAST INTERNATIONAL,BULGARIA,PLOVDIV,JET2.COM LTD,C,10,0,10,30,30,10,20,0,0,0,0,0,12.1,91.666667,8.416667
123,BELFAST INTERNATIONAL,BULGARIA,SOFIA,JET2.COM LTD,C,10,0,0,0,20,0,60,20,0,0,0,0,41,30,47.3
123,BELFAST INTERNATIONAL,LITHUANIA,VILNIUS,WIZZ AIR,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.833333
123,BELFAST INTERNATIONAL,UNITED KINGDOM,BIRMINGHAM,EASYJET UK LTD,S,210,0,1.904762,62.857143,22.857143,6.190476,4.285714,0.952381,0.47619,0,0.47619,0,8.104762,88.636364,5.443182
123,BELFAST INTERNATIONAL,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,C,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.5
123,BELFAST INTERNATIONAL,UNITED KINGDOM,BRISTOL,EASYJET UK LTD,S,114,0,6.140351,52.631579,25.438596,5.263158,3.508772,5.263158,1.754386,0,0,0,11.868421,97.183099,1.633803
123,BELFAST INTERNATIONAL,UNITED KINGDOM,CARDIFF WALES,EASTERN AIRWAYS,C,0,0,0,0,0,0,0,0,0,0,0,0,0,100,6
123,BELFAST INTERNATIONAL,UNITED KINGDOM,EAST MIDLANDS INTERNATIONAL,EASYJET UK LTD,S,0,0,0,0,0,0,0,0,0,0,0,0,0,97.058824,2.264706
123,BELFAST INTERNATIONAL,UNITED KINGDOM,EDINBURGH,EASYJET UK LTD,S,186,0,15.053763,49.462366,19.354839,10.215054,4.83871,0.537634,0,0.537634,0,0,7.139785,96.323529,2.117647
123,BELFAST INTERNATIONAL,UNITED KINGDOM,GLASGOW,EASYJET UK LTD,S,154,0,16.883117,55.194805,20.12987,4.545455,0.649351,1.948052,0,0.649351,0,0,5.246753,96.923077,1.7
123,BELFAST INTERNATIONAL,UNITED KINGDOM,GLASGOW,EMERALD AIRLINES (IRELAND) LIMITED,C,1,0,0,0,100,0,0,0,0,0,0,0,5,0,0
123,BELFAST INTERNATIONAL,UNITED KINGDOM,ISLE OF MAN,EASYJET UK LTD,S,20,0,5,75,20,0,0,0,0,0,0,0,1.7,75,13.5
123,BELFAST INTERNATIONAL,UNITED KINGDOM,LEEDS BRADFORD,EASYJET UK LTD,S,30,0,6.666667,56.666667,23.333333,6.666667,0,6.666667,0,0,0,0,8.266667,97.222222,0.916667
123,BELFAST INTERNATIONAL,UNITED KINGDOM,LIVERPOOL (JOHN LENNON),EASYJET UK LTD,S,176,0,3.409091,65.909091,17.613636,7.954545,3.977273,0.568182,0.568182,0,0,0,5.409091,95.934959,2.260163
123,BELFAST INTERNATIONAL,UNITED KINGDOM,GATWICK,EASYJET UK LTD,S,268,0,9.701493,54.477612,26.492537,5.223881,2.238806,1.865672,0,0,0,0,5.402985,90.517241,4.801724
123,BELFAST INTERNATIONAL,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,C,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
123,BELFAST INTERNATIONAL,UNITED KINGDOM,HEATHROW,FLYBE LTD,S,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0
123,BELFAST INTERNATIONAL,UNITED KINGDOM,LUTON,EASYJET UK LTD,S,208,0,7.211538,53.365385,26.442308,6.730769,4.326923,1.442308,0.480769,0,0,0,6.918269,95.081967,2.254098
